WELL,DEPT,SSTVD,Z,NEU,GGKP
12,3044.0376,2166.08270570588,-2166.08270570588,0.1828,2.35
12,3044.19,2166.19499261903,-2166.19499261903,0.1859,2.37
12,3044.3424,2166.30727953219,-2166.30727953219,0.1939,2.41
12,3044.4948,2166.41956644534,-2166.41956644534,0.1944,2.43
12,3044.6472,2166.5318533585,-2166.5318533585,0.1852,2.38
12,3044.7996,2166.64414027165,-2166.64414027165,0.1767,2.39
12,3044.952,2166.75642718481,-2166.75642718481,0.1713,2.31
12,3045.1044,2166.86871409797,-2166.86871409797,0.1714,2.33
12,3045.2568,2166.98100101112,-2166.98100101112,0.1754,2.34
12,3045.4092,2167.09328792428,-2167.09328792428,0.1787,2.33
12,3045.5616,2167.20557483743,-2167.20557483743,0.1772,2.37
12,3045.714,2167.31786175059,-2167.31786175059,0.1775,2.42
12,3045.8664,2167.43014866374,-2167.43014866374,0.1789,2.36
12,3046.0188,2167.54243946996,-2167.54243946996,0.1774,2.39
12,3046.1712,2167.6547938039,-2167.6547938039,0.1814,2.38
12,3046.3236,2167.76714813784,-2167.76714813784,0.1798,2.39
12,3046.476,2167.87950247178,-2167.87950247178,0.1835,2.38
12,3046.6284,2167.99185680571,-2167.99185680571,0.1918,2.3
12,3046.7808,2168.10421113965,-2168.10421113965,0.1885,2.27
12,3046.9332,2168.21656547359,-2168.21656547359,0.1789,2.35
12,3047.0856,2168.32891980753,-2168.32891980753,0.1712,2.38
12,3047.238,2168.44127414146,-2168.44127414146,0.1682,2.42
12,3047.3904,2168.5536284754,-2168.5536284754,0.1712,2.39
12,3047.5428,2168.66598280934,-2168.66598280934,0.1764,2.37
12,3047.6952,2168.77833714328,-2168.77833714328,0.1783,2.38
12,3047.8476,2168.89069147722,-2168.89069147722,0.1769,2.38
12,3048.0,2169.00304581115,-2169.00304581115,0.1794,2.38
12,3048.1524,2169.11540014509,-2169.11540014509,0.1828,2.4
12,3048.3048,2169.22775447903,-2169.22775447903,0.1764,2.37
12,3048.4572,2169.34010881297,-2169.34010881297,0.1618,2.36
12,3048.6096,2169.4524631469,-2169.4524631469,0.1561,2.38
12,3048.762,2169.56481748084,-2169.56481748084,0.1612,2.38
12,3048.9144,2169.67717181478,-2169.67717181478,0.158,2.37
12,3049.0668,2169.78952614872,-2169.78952614872,0.1479,2.43
12,3049.2192,2169.90188048265,-2169.90188048265,0.1439,2.41
12,3049.3716,2170.01423481659,-2170.01423481659,0.1422,2.39
12,3049.524,2170.12658915053,-2170.12658915053,0.1369,2.45
12,3049.6764,2170.23894348447,-2170.23894348447,0.1306,2.46
12,3049.8288,2170.35129781841,-2170.35129781841,0.1242,2.52
12,3049.9812,2170.46365215234,-2170.46365215234,0.1159,2.52
12,3050.1336,2170.57600648628,-2170.57600648628,0.1083,2.5
12,3050.286,2170.68836082022,-2170.68836082022,0.1033,2.47
12,3050.4384,2170.80071515416,-2170.80071515416,0.1005,2.49
12,3050.5908,2170.91306948809,-2170.91306948809,0.0951,2.44
12,3050.7432,2171.02542382203,-2171.02542382203,0.0833,2.55
12,3050.8956,2171.13777815597,-2171.13777815597,0.0674,2.6
12,3051.048,2171.25013248991,-2171.25013248991,0.0501,2.62
12,3051.2004,2171.36248682385,-2171.36248682385,0.0389,2.6
12,3051.3528,2171.47484115778,-2171.47484115778,0.0372,2.56
12,3051.5052,2171.58719549172,-2171.58719549172,0.0359,2.57
12,3051.6576,2171.69954982566,-2171.69954982566,0.035,2.59
12,3051.81,2171.8119041596,-2171.8119041596,0.0365,2.59
12,3051.9624,2171.92425849353,-2171.92425849353,0.038,2.65
12,3052.1148,2172.03661494929,-2172.03661494929,0.038,2.59
12,3052.2672,2172.1490366511,-2172.1490366511,0.04,2.6
12,3052.4196,2172.26145835291,-2172.26145835291,0.0457,2.55
12,3052.572,2172.37388005472,-2172.37388005472,0.0516,2.58
12,3052.7244,2172.48630175653,-2172.48630175653,0.0535,2.62
12,3052.8768,2172.59872345834,-2172.59872345834,0.0517,2.63
12,3053.0292,2172.71114516015,-2172.71114516015,0.0481,2.68
12,3053.1816,2172.82356686197,-2172.82356686197,0.0429,2.67
12,3053.334,2172.93598856378,-2172.93598856378,0.0374,2.59
12,3053.4864,2173.04841026559,-2173.04841026559,0.0371,2.55
12,3053.6388,2173.1608319674,-2173.1608319674,0.0423,2.61
12,3053.7912,2173.27325366921,-2173.27325366921,0.0517,2.56
12,3053.9436,2173.38567537102,-2173.38567537102,0.0685,2.53
12,3054.096,2173.49809707283,-2173.49809707283,0.0907,2.5
12,3054.2484,2173.61051877464,-2173.61051877464,0.1102,2.52
12,3054.4008,2173.72294047645,-2173.72294047645,0.1254,2.49
12,3054.5532,2173.83536217826,-2173.83536217826,0.1426,2.39
12,3054.7056,2173.94778388007,-2173.94778388007,0.1659,2.3
12,3054.858,2174.06020558188,-2174.06020558188,0.1765,2.32
12,3055.0104,2174.17262728369,-2174.17262728369,0.1788,2.31
12,3055.1628,2174.2850489855,-2174.2850489855,0.1828,2.3
12,3055.3152,2174.39747068731,-2174.39747068731,0.1869,2.3
12,3055.4676,2174.50989238912,-2174.50989238912,0.1814,2.32
12,3055.62,2174.62231409093,-2174.62231409093,0.1778,2.31
12,3055.7724,2174.73473579274,-2174.73473579274,0.1782,2.32
12,3055.9248,2174.84715749455,-2174.84715749455,0.1801,2.35
12,3056.0772,2174.95957919636,-2174.95957919636,0.1805,2.35
12,3056.2296,2175.07200089817,-2175.07200089817,0.1806,2.33
12,3056.382,2175.18442259998,-2175.18442259998,0.1793,2.32
12,3056.5344,2175.29684430179,-2175.29684430179,0.1857,2.38
12,3056.6868,2175.4092660036,-2175.4092660036,0.1943,2.37
12,3056.8392,2175.52168770541,-2175.52168770541,0.192,2.34
12,3056.9916,2175.63410940722,-2175.63410940722,0.1868,2.33
12,3057.144,2175.74653110903,-2175.74653110903,0.1832,2.34
12,3057.2964,2175.85895281084,-2175.85895281084,0.1824,2.35
12,3057.4488,2175.97137451265,-2175.97137451265,0.1872,2.37
12,3057.6012,2176.08379621446,-2176.08379621446,0.1908,2.35
12,3057.7536,2176.19621791627,-2176.19621791627,0.1926,2.34
12,3057.906,2176.30863961808,-2176.30863961808,0.1941,2.35
12,3058.0584,2176.42106131989,-2176.42106131989,0.1859,2.34
12,3058.2108,2176.53348337506,-2176.53348337506,0.1872,2.36
12,3058.3632,2176.6459723918,-2176.6459723918,0.1969,2.35
12,3058.5156,2176.75846140854,-2176.75846140854,0.2015,2.36
12,3058.668,2176.87095042528,-2176.87095042528,0.2024,2.36
12,3058.8204,2176.98343944202,-2176.98343944202,0.2034,2.33
12,3058.9728,2177.09592845876,-2177.09592845876,0.2038,2.3
12,3059.1252,2177.2084174755,-2177.2084174755,0.1944,2.32
12,3059.2776,2177.32090649224,-2177.32090649224,0.1864,2.37
12,3059.43,2177.43339550898,-2177.43339550898,0.186,2.4
12,3059.5824,2177.54588452572,-2177.54588452572,0.1904,2.33
12,3059.7348,2177.65837354247,-2177.65837354247,0.2016,2.32
12,3059.8872,2177.77086255921,-2177.77086255921,0.2093,2.38
12,3060.0396,2177.88335157595,-2177.88335157595,0.2091,2.34
12,3060.192,2177.99584059269,-2177.99584059269,0.2081,2.27
12,3060.3444,2178.10832960943,-2178.10832960943,0.2054,2.33
12,3060.4968,2178.22081862617,-2178.22081862617,0.2094,2.23
12,3060.6492,2178.33330764291,-2178.33330764291,0.2101,2.46
12,3060.8016,2178.44579665965,-2178.44579665965,0.2209,2.5
12,3060.954,2178.55828567639,-2178.55828567639,0.249,2.48
12,3061.1064,2178.67077469313,-2178.67077469313,0.2631,2.51
12,3061.2588,2178.78326370987,-2178.78326370987,0.2625,2.44
12,3061.4112,2178.89575272662,-2178.89575272662,0.2535,2.4
12,3061.5636,2179.00824174336,-2179.00824174336,0.2481,2.37
12,3061.716,2179.1207307601,-2179.1207307601,0.24,2.34
12,3061.8684,2179.23321977684,-2179.23321977684,0.2289,2.43
12,3062.0208,2179.34570879358,-2179.34570879358,0.2228,2.46
12,3062.1732,2179.45819781032,-2179.45819781032,0.2209,2.37
12,3062.3256,2179.57068682706,-2179.57068682706,0.2272,2.48
12,3062.478,2179.6831758438,-2179.6831758438,0.2478,2.42
12,3062.6304,2179.79566486054,-2179.79566486054,0.2411,2.41
12,3062.7828,2179.90815387728,-2179.90815387728,0.2135,2.33
12,3062.9352,2180.02064289402,-2180.02064289402,0.2021,2.35
12,3063.0876,2180.13313191076,-2180.13313191076,0.1983,2.4
12,3063.24,2180.24562092751,-2180.24562092751,0.201,2.43
12,3063.3924,2180.35810994425,-2180.35810994425,0.2099,2.45
12,3063.5448,2180.47059896099,-2180.47059896099,0.2183,2.46
12,3063.6972,2180.58308797773,-2180.58308797773,0.2265,2.46
12,3063.8496,2180.69557699447,-2180.69557699447,0.2305,2.45
12,3064.002,2180.80806601121,-2180.80806601121,0.2407,2.49
12,3064.1544,2180.92055502795,-2180.92055502795,0.2611,2.46
12,3064.3068,2181.03304404469,-2181.03304404469,0.287,2.38
12,3064.4592,2181.14569342626,-2181.14569342626,0.2798,2.25
12,3064.6116,2181.25834624729,-2181.25834624729,0.2525,2.36
12,3064.764,2181.37099906832,-2181.37099906832,0.2497,2.45
12,3064.9164,2181.48365188935,-2181.48365188935,0.2601,2.54
12,3065.0688,2181.59630471038,-2181.59630471038,0.2699,2.62
12,3065.2212,2181.70895753141,-2181.70895753141,0.2708,2.55
12,3065.3736,2181.82161035244,-2181.82161035244,0.2702,2.3
12,3065.526,2181.93426317347,-2181.93426317347,0.2696,2.36
12,3065.6784,2182.0469159945,-2182.0469159945,0.2247,2.49
12,3065.8308,2182.15956881553,-2182.15956881553,0.1782,2.47
12,3065.9832,2182.27222163656,-2182.27222163656,0.1674,2.5
12,3066.1356,2182.38487445759,-2182.38487445759,0.1757,2.47
12,3066.288,2182.49752727862,-2182.49752727862,0.1955,2.4
12,3066.4404,2182.61018009965,-2182.61018009965,0.2068,2.35
12,3066.5928,2182.72283292068,-2182.72283292068,0.2069,2.33
12,3066.7452,2182.83548574171,-2182.83548574171,0.2024,2.4
12,3066.8976,2182.94813856274,-2182.94813856274,0.2036,2.44
12,3067.05,2183.06079138377,-2183.06079138377,0.202,2.51
12,3067.2024,2183.1734442048,-2183.1734442048,0.2005,2.5
12,3067.3548,2183.28609702583,-2183.28609702583,0.2063,2.55
12,3067.5072,2183.39874984686,-2183.39874984686,0.1995,2.59
12,3067.6596,2183.51140266789,-2183.51140266789,0.2017,2.47
12,3067.812,2183.62405548892,-2183.62405548892,0.2218,2.47
12,3067.9644,2183.73670830995,-2183.73670830995,0.2323,2.54
12,3068.1168,2183.84936113098,-2183.84936113098,0.2344,2.56
12,3068.2692,2183.96201395201,-2183.96201395201,0.2323,2.57
13,2735.2752,2158.79987852756,-2158.79987852756,0.2593,2.56
13,2735.4276,2158.94102931307,-2158.94102931307,0.2599,2.57
13,2735.58,2159.08218009859,-2159.08218009859,0.2522,2.58
13,2735.7324,2159.22333088411,-2159.22333088411,0.246,2.57
13,2735.8848,2159.36448166963,-2159.36448166963,0.2535,2.55
13,2736.0372,2159.50563245514,-2159.50563245514,0.2692,2.51
13,2736.1896,2159.64678324066,-2159.64678324066,0.2687,2.45
13,2736.342,2159.78793402618,-2159.78793402618,0.2506,2.42
13,2736.4944,2159.9290848117,-2159.9290848117,0.2344,2.41
13,2736.6468,2160.07023559722,-2160.07023559722,0.2287,2.4
13,2736.7992,2160.21138638273,-2160.21138638273,0.2327,2.37
13,2736.9516,2160.35253716825,-2160.35253716825,0.233,2.38
13,2737.104,2160.49368795377,-2160.49368795377,0.228,2.38
13,2737.2564,2160.63483873929,-2160.63483873929,0.2268,2.38
13,2737.4088,2160.7759895248,-2160.7759895248,0.2279,2.37
13,2737.5612,2160.91714142181,-2160.91714142181,0.2327,2.39
13,2737.7136,2161.05843336613,-2161.05843336613,0.2372,2.42
13,2737.866,2161.19972531045,-2161.19972531045,0.2395,2.42
13,2738.0184,2161.34101725477,-2161.34101725477,0.2432,2.39
13,2738.1708,2161.48230919909,-2161.48230919909,0.2338,2.38
13,2738.3232,2161.62360114341,-2161.62360114341,0.219,2.39
13,2738.4756,2161.76489308773,-2161.76489308773,0.2149,2.38
13,2738.628,2161.90618503204,-2161.90618503204,0.2144,2.37
13,2738.7804,2162.04747697636,-2162.04747697636,0.2103,2.41
13,2738.9328,2162.18876892068,-2162.18876892068,0.2014,2.39
13,2739.0852,2162.330060865,-2162.330060865,0.1958,2.37
13,2739.2376,2162.47135280932,-2162.47135280932,0.202,2.38
13,2739.39,2162.61264475364,-2162.61264475364,0.2079,2.4
13,2739.5424,2162.75393669796,-2162.75393669796,0.2115,2.38
13,2739.6948,2162.89522864228,-2162.89522864228,0.2125,2.37
13,2739.8472,2163.0365205866,-2163.0365205866,0.2031,2.37
13,2739.9996,2163.17781253092,-2163.17781253092,0.1931,2.38
13,2740.152,2163.31910447524,-2163.31910447524,0.1932,2.4
13,2740.3044,2163.46039641956,-2163.46039641956,0.1995,2.41
13,2740.4568,2163.60168836388,-2163.60168836388,0.2043,2.4
13,2740.6092,2163.7429803082,-2163.7429803082,0.2028,2.36
13,2740.7616,2163.88427225252,-2163.88427225252,0.1937,2.37
13,2740.914,2164.02556419684,-2164.02556419684,0.1801,2.42
13,2741.0664,2164.16685614116,-2164.16685614116,0.1678,2.48
13,2741.2188,2164.30814808548,-2164.30814808548,0.1612,2.5
13,2741.3712,2164.4494400298,-2164.4494400298,0.1595,2.49
13,2741.5236,2164.59073197412,-2164.59073197412,0.1526,2.49
13,2741.676,2164.73202391844,-2164.73202391844,0.1374,2.51
13,2741.8284,2164.87331586276,-2164.87331586276,0.1209,2.55
13,2741.9808,2165.01460780708,-2165.01460780708,0.1081,2.58
13,2742.1332,2165.1558997514,-2165.1558997514,0.0999,2.56
13,2742.2856,2165.29719169571,-2165.29719169571,0.0931,2.55
13,2742.438,2165.43848364003,-2165.43848364003,0.0867,2.56
13,2742.5904,2165.57977558435,-2165.57977558435,0.0828,2.55
13,2742.7428,2165.72106752867,-2165.72106752867,0.0882,2.57
13,2742.8952,2165.86235947299,-2165.86235947299,0.1008,2.56
13,2743.0476,2166.00365141731,-2166.00365141731,0.1157,2.54
13,2743.2,2166.14494336163,-2166.14494336163,0.1262,2.55
13,2743.3524,2166.28623530595,-2166.28623530595,0.1317,2.57
13,2743.5048,2166.42752725027,-2166.42752725027,0.1405,2.56
13,2743.6572,2166.56883050629,-2166.56883050629,0.1601,2.53
13,2743.8096,2166.71023972294,-2166.71023972294,0.186,2.49
13,2743.962,2166.85164893958,-2166.85164893958,0.2047,2.49
13,2744.1144,2166.99305815623,-2166.99305815623,0.2073,2.47
13,2744.2668,2167.13446737288,-2167.13446737288,0.202,2.44
13,2744.4192,2167.27587658953,-2167.27587658953,0.2001,2.4
13,2744.5716,2167.41728580617,-2167.41728580617,0.2011,2.4
13,2744.724,2167.55869502282,-2167.55869502282,0.2072,2.42
13,2744.8764,2167.70010423946,-2167.70010423946,0.214,2.42
13,2745.0288,2167.84151345611,-2167.84151345611,0.2109,2.41
13,2745.1812,2167.98292267276,-2167.98292267276,0.2052,2.41
13,2745.3336,2168.1243318894,-2168.1243318894,0.2053,2.41
13,2745.486,2168.26574110605,-2168.26574110605,0.2068,2.39
13,2745.6384,2168.4071503227,-2168.4071503227,0.2013,2.37
13,2745.7908,2168.54855953934,-2168.54855953934,0.1947,2.39
13,2745.9432,2168.68996875599,-2168.68996875599,0.1985,2.4
13,2746.0956,2168.83137797264,-2168.83137797264,0.2081,2.39
13,2746.248,2168.97278718928,-2168.97278718928,0.2109,2.38
13,2746.4004,2169.11419640593,-2169.11419640593,0.2064,2.39
13,2746.5528,2169.25560562258,-2169.25560562258,0.2016,2.39
13,2746.7052,2169.39701483922,-2169.39701483922,0.1986,2.39
13,2746.8576,2169.53842405587,-2169.53842405587,0.1942,2.39
13,2747.01,2169.67983327252,-2169.67983327252,0.1892,2.39
13,2747.1624,2169.82124248916,-2169.82124248916,0.1879,2.39
13,2747.3148,2169.96265170581,-2169.96265170581,0.188,2.41
13,2747.4672,2170.10406092246,-2170.10406092246,0.1865,2.41
13,2747.6196,2170.2454701391,-2170.2454701391,0.1872,2.38
13,2747.772,2170.38687935575,-2170.38687935575,0.1885,2.4
13,2747.9244,2170.5282885724,-2170.5282885724,0.1944,2.36
13,2748.0768,2170.66969778904,-2170.66969778904,0.2025,2.33
13,2748.2292,2170.81110700569,-2170.81110700569,0.2027,2.33
13,2748.3816,2170.95251622234,-2170.95251622234,0.2007,2.36
13,2748.534,2171.09392543898,-2171.09392543898,0.1987,2.36
13,2748.6864,2171.23533465563,-2171.23533465563,0.195,2.34
13,2748.8388,2171.37674387227,-2171.37674387227,0.1956,2.32
13,2748.9912,2171.51815308892,-2171.51815308892,0.2053,2.32
13,2749.1436,2171.65956230557,-2171.65956230557,0.2081,2.37
13,2749.296,2171.80097152222,-2171.80097152222,0.199,2.36
13,2749.4484,2171.94238073886,-2171.94238073886,0.1912,2.33
13,2749.6008,2172.08378995551,-2172.08378995551,0.1898,2.34
13,2749.7532,2172.22522068174,-2172.22522068174,0.192,2.33
13,2749.9056,2172.36674614165,-2172.36674614165,0.1916,2.35
13,2750.058,2172.50827160157,-2172.50827160157,0.191,2.38
13,2750.2104,2172.64979706148,-2172.64979706148,0.2,2.41
13,2750.3628,2172.7913225214,-2172.7913225214,0.2075,2.45
13,2750.5152,2172.93284798131,-2172.93284798131,0.2088,2.45
13,2750.6676,2173.07437344123,-2173.07437344123,0.2137,2.46
13,2750.82,2173.21589890114,-2173.21589890114,0.2214,2.48
13,2750.9724,2173.35742436106,-2173.35742436106,0.2177,2.45
13,2751.1248,2173.49894982097,-2173.49894982097,0.2132,2.38
13,2751.2772,2173.64047528089,-2173.64047528089,0.2226,2.38
13,2751.4296,2173.7820007408,-2173.7820007408,0.2352,2.42
13,2751.582,2173.92352620072,-2173.92352620072,0.2351,2.39
13,2751.7344,2174.06505166063,-2174.06505166063,0.2304,2.47
13,2751.8868,2174.20657712055,-2174.20657712055,0.2345,2.49
13,2752.0392,2174.34810258046,-2174.34810258046,0.2454,2.47
13,2752.1916,2174.48962804038,-2174.48962804038,0.2519,2.51
13,2752.344,2174.63115350029,-2174.63115350029,0.2443,2.49
13,2752.4964,2174.77267896021,-2174.77267896021,0.2324,2.5
13,2752.6488,2174.91420442012,-2174.91420442012,0.2339,2.53
13,2752.8012,2175.05572988003,-2175.05572988003,0.2455,2.56
13,2752.9536,2175.19725533995,-2175.19725533995,0.2429,2.51
13,2753.106,2175.33878079986,-2175.33878079986,0.2318,2.5
14,2402.1288,2170.52963012847,-2170.52963012847,0.231,2.47
14,2402.2812,2170.68188348978,-2170.68188348978,0.228,2.46
14,2402.4336,2170.83413685109,-2170.83413685109,0.2294,2.46
14,2402.586,2170.9863902124,-2170.9863902124,0.2335,2.43
14,2402.7384,2171.13864357371,-2171.13864357371,0.2258,2.4
14,2402.8908,2171.29089693503,-2171.29089693503,0.2103,2.39
14,2403.0432,2171.44315029634,-2171.44315029634,0.2084,2.41
14,2403.1956,2171.59540365765,-2171.59540365765,0.2148,2.45
14,2403.348,2171.74765701896,-2171.74765701896,0.2253,2.46
14,2403.5004,2171.89991038027,-2171.89991038027,0.214,2.44
14,2403.6528,2172.05216374158,-2172.05216374158,0.2055,2.41
14,2403.8052,2172.20441710289,-2172.20441710289,0.1918,2.39
14,2403.9576,2172.3566704642,-2172.3566704642,0.1962,2.37
14,2404.11,2172.50892382551,-2172.50892382551,0.193,2.37
14,2404.2624,2172.66117718682,-2172.66117718682,0.2023,2.37
14,2404.4148,2172.81343054813,-2172.81343054813,0.2073,2.37
14,2404.5672,2172.96568390944,-2172.96568390944,0.2101,2.36
14,2404.7196,2173.11793727075,-2173.11793727075,0.2122,2.35
14,2404.872,2173.27019063206,-2173.27019063206,0.2046,2.34
14,2405.0244,2173.42244399337,-2173.42244399337,0.2039,2.34
14,2405.1768,2173.57469735468,-2173.57469735468,0.1978,2.36
14,2405.3292,2173.726950716,-2173.726950716,0.1909,2.37
14,2405.4816,2173.87920407731,-2173.87920407731,0.1921,2.37
14,2405.634,2174.03145743862,-2174.03145743862,0.1968,2.38
14,2405.7864,2174.18371079993,-2174.18371079993,0.1992,2.4
14,2405.9388,2174.33596416124,-2174.33596416124,0.1891,2.42
14,2406.0912,2174.48821752255,-2174.48821752255,0.1762,2.44
14,2406.2436,2174.64047088386,-2174.64047088386,0.1723,2.45
14,2406.396,2174.79272424517,-2174.79272424517,0.174,2.43
14,2406.5484,2174.94497760648,-2174.94497760648,0.1824,2.4
14,2406.7008,2175.09723096779,-2175.09723096779,0.1899,2.37
14,2406.8532,2175.24948310291,-2175.24948310291,0.1952,2.35
14,2407.0056,2175.40172894929,-2175.40172894929,0.2008,2.35
14,2407.158,2175.55397479566,-2175.55397479566,0.2049,2.35
14,2407.3104,2175.70622064203,-2175.70622064203,0.208,2.36
14,2407.4628,2175.85846648841,-2175.85846648841,0.2123,2.37
14,2407.6152,2176.01071233478,-2176.01071233478,0.1987,2.36
14,2407.7676,2176.16295818115,-2176.16295818115,0.1966,2.35
14,2407.92,2176.31520402753,-2176.31520402753,0.1919,2.34
14,2408.0724,2176.4674498739,-2176.4674498739,0.1957,2.34
14,2408.2248,2176.61969572028,-2176.61969572028,0.1954,2.34
14,2408.3772,2176.77194156665,-2176.77194156665,0.1937,2.35
14,2408.5296,2176.92418741302,-2176.92418741302,0.1952,2.35
14,2408.682,2177.0764332594,-2177.0764332594,0.1978,2.35
14,2408.8344,2177.22867910577,-2177.22867910577,0.2048,2.35
14,2408.9868,2177.38092495214,-2177.38092495214,0.2089,2.35
14,2409.1392,2177.53317079852,-2177.53317079852,0.2046,2.36
14,2409.2916,2177.68541664489,-2177.68541664489,0.2025,2.36
14,2409.444,2177.83766249126,-2177.83766249126,0.2094,2.36
14,2409.5964,2177.98990833764,-2177.98990833764,0.2234,2.35
14,2409.7488,2178.14215418401,-2178.14215418401,0.2276,2.33
14,2409.9012,2178.29440003039,-2178.29440003039,0.2268,2.32
14,2410.0536,2178.44664587676,-2178.44664587676,0.2174,2.32
14,2410.206,2178.59889172313,-2178.59889172313,0.2038,2.32
14,2410.3584,2178.75113756951,-2178.75113756951,0.2002,2.32
14,2410.5108,2178.90338341588,-2178.90338341588,0.2052,2.31
14,2410.6632,2179.05562926225,-2179.05562926225,0.2103,2.33
14,2410.8156,2179.20787510863,-2179.20787510863,0.212,2.35
14,2410.968,2179.360120955,-2179.360120955,0.207,2.36
14,2411.1204,2179.51236680138,-2179.51236680138,0.2027,2.37
14,2411.2728,2179.66461264775,-2179.66461264775,0.1984,2.37
14,2411.4252,2179.81685849412,-2179.81685849412,0.1926,2.38
14,2411.5776,2179.9691043405,-2179.9691043405,0.1971,2.39
14,2411.73,2180.12135018687,-2180.12135018687,0.2078,2.39
14,2411.8824,2180.27359603324,-2180.27359603324,0.2097,2.39
14,2412.0348,2180.42584187962,-2180.42584187962,0.2023,2.38
14,2412.1872,2180.57808772599,-2180.57808772599,0.1941,2.39
14,2412.3396,2180.73033357237,-2180.73033357237,0.1912,2.39
14,2412.492,2180.88257941874,-2180.88257941874,0.1874,2.4
14,2412.6444,2181.03482526511,-2181.03482526511,0.1828,2.4
14,2412.7968,2181.18707111149,-2181.18707111149,0.1867,2.41
14,2412.9492,2181.33931695786,-2181.33931695786,0.1925,2.41
14,2413.1016,2181.49156280423,-2181.49156280423,0.1945,2.4
14,2413.254,2181.64380865061,-2181.64380865061,0.1935,2.4
14,2413.4064,2181.79605449698,-2181.79605449698,0.1904,2.39
14,2413.5588,2181.94830034336,-2181.94830034336,0.1903,2.4
14,2413.7112,2182.10054618973,-2182.10054618973,0.1828,2.41
14,2413.8636,2182.2527920361,-2182.2527920361,0.1832,2.41
14,2414.016,2182.40503788248,-2182.40503788248,0.1855,2.4
14,2414.1684,2182.55728372885,-2182.55728372885,0.1931,2.39
14,2414.3208,2182.70952957522,-2182.70952957522,0.1971,2.39
14,2414.4732,2182.8617754216,-2182.8617754216,0.1948,2.4
14,2414.6256,2183.01402126797,-2183.01402126797,0.191,2.41
14,2414.778,2183.16626711434,-2183.16626711434,0.1863,2.41
14,2414.9304,2183.31851296072,-2183.31851296072,0.1785,2.4
14,2415.0828,2183.47075214583,-2183.47075214583,0.1727,2.39
14,2415.2352,2183.62299088313,-2183.62299088313,0.1723,2.39
14,2415.3876,2183.77522962043,-2183.77522962043,0.1772,2.39
14,2415.54,2183.92746835773,-2183.92746835773,0.1864,2.38
14,2415.6924,2184.07970709503,-2184.07970709503,0.1939,2.36
14,2415.8448,2184.23194583233,-2184.23194583233,0.1915,2.34
14,2415.9972,2184.38418456963,-2184.38418456963,0.1867,2.33
14,2416.1496,2184.53642330693,-2184.53642330693,0.1841,2.34
14,2416.302,2184.68866204423,-2184.68866204423,0.1833,2.35
14,2416.4544,2184.84090078153,-2184.84090078153,0.1859,2.35
14,2416.6068,2184.99313951883,-2184.99313951883,0.1931,2.35
14,2416.7592,2185.14537825613,-2185.14537825613,0.1991,2.35
14,2416.9116,2185.29761699343,-2185.29761699343,0.1976,2.36
14,2417.064,2185.44985573073,-2185.44985573073,0.1959,2.36
